fac_id,fac_count,fac_type,fac_build,fac_x,fac_y,prov
"(1, 1) AB",1,1,0.0,-113.9636443,49.5372988,AB
"(1, 2) AB",1,2,0.0,-113.9636443,49.5450473,AB
"(1, 3) AB",1,3,0.0,-114.03755,49.5536552,AB
"(2, 1) AB",2,1,0.0,-113.9636443,49.5450183150199,AB
"(2, 2) AB",2,2,0.0,-114.03755,49.5372988,AB
"(2, 3) AB",2,3,1.0,-112.8931754,50.1346769,AB
"(3, 1) AB",3,1,0.0,-113.97572,49.5372988,AB
"(3, 2) AB",3,2,0.0,-113.97572,49.5450183150199,AB
"(3, 3) AB",3,3,1.0,-112.08017,52.2889915,AB
"(4, 1) AB",4,1,0.0,-113.9636443,49.5536552,AB
"(4, 2) AB",4,2,0.0,-114.03755,49.5536552,AB
"(4, 3) AB",4,3,1.0,-113.81618,49.5450183150199,AB
"(1, 1) BC",1,1,0.0,-123.07447,55.80429,BC
"(1, 2) BC",1,2,0.0,-123.07447,55.80429,BC
"(1, 3) BC",1,3,0.0,-128.03655,50.7595528,BC
"(2, 1) BC",2,1,0.0,-120.087858,49.64998,BC
"(2, 2) BC",2,2,0.0,-128.03655,50.7595528,BC
"(2, 3) BC",2,3,1.0,-128.03654999999998,50.7595528,BC
"(3, 1) BC",3,1,0.0,-128.03655,55.80429,BC
"(3, 2) BC",3,2,0.0,-128.03655,49.64998,BC
"(3, 3) BC",3,3,1.0,-120.86641,55.262339,BC
"(4, 1) BC",4,1,0.0,-120.087858,49.3874404,BC
"(4, 2) BC",4,2,0.0,-122.233629,50.7595528,BC
"(4, 3) BC",4,3,0.0,-128.03655,50.7595528,BC
"(1, 1) MB",1,1,0.0,-97.375876,49.1646844,MB
"(1, 2) MB",1,2,0.0,-98.685018,49.36184110000001,MB
"(1, 3) MB",1,3,1.0,-98.68501799999999,49.3618411,MB
"(2, 1) MB",2,1,0.0,-98.685018,49.36184110000001,MB
"(2, 2) MB",2,2,0.0,-98.685018,49.36184110000001,MB
"(2, 3) MB",2,3,0.0,-98.685018,49.36184110000001,MB
"(3, 1) MB",3,1,0.0,-97.375876,49.1646844,MB
"(3, 2) MB",3,2,0.0,-97.375876,49.1646844,MB
"(3, 3) MB",3,3,0.0,-98.685018,49.36184110000001,MB
"(4, 1) MB",4,1,0.0,-98.685018,49.36184110000001,MB
"(4, 2) MB",4,2,0.0,-98.685018,49.36184110000001,MB
"(4, 3) MB",4,3,0.0,-98.685018,49.36184110000001,MB
"(1, 1) NB",1,1,0.0,-66.430224,45.789978,NB
"(1, 2) NB",1,2,0.0,-65.23447,45.7731637,NB
"(1, 3) NB",1,3,0.0,-65.23447,45.7145655,NB
"(2, 1) NB",2,1,0.0,-65.23447,45.789978,NB
"(2, 2) NB",2,2,0.0,-66.430224,45.8079619,NB
"(2, 3) NB",2,3,0.0,-65.23447,45.789978,NB
"(3, 1) NB",3,1,0.0,-65.23447,45.789978,NB
"(3, 2) NB",3,2,0.0,-65.23447,45.789978,NB
"(3, 3) NB",3,3,0.0,-66.430224,46.179575,NB
"(4, 1) NB",4,1,0.0,-66.430224,45.8079619,NB
"(4, 2) NB",4,2,0.0,-66.430224,45.789978,NB
"(4, 3) NB",4,3,1.0,-64.89259,46.179575,NB
"(1, 1) NF",1,1,0.0,-57.397544,46.9597269,NF
"(1, 2) NF",1,2,0.0,-57.39798,46.9843317,NF
"(1, 3) NF",1,3,1.0,-57.397544,47.52258,NF
"(2, 1) NF",2,1,0.0,-57.39798,46.9843317,NF
"(2, 2) NF",2,2,0.0,-57.397544,46.9597269,NF
"(2, 3) NF",2,3,0.0,-57.397544,46.9597269,NF
"(3, 1) NF",3,1,0.0,-57.39798,46.9843317,NF
"(3, 2) NF",3,2,0.0,-57.397544,46.9597269,NF
"(3, 3) NF",3,3,0.0,-55.429981,46.9843317,NF
"(4, 1) NF",4,1,0.0,-57.39798,46.9597269,NF
"(4, 2) NF",4,2,0.0,-57.39798,46.9597269,NF
"(4, 3) NF",4,3,0.0,-55.429981,46.9843317,NF
"(1, 1) NS",1,1,0.0,-66.096756,43.600916069,NS
"(1, 2) NS",1,2,0.0,-66.011934,44.298777,NS
"(1, 3) NS",1,3,1.0,-63.226801,45.558189,NS
"(2, 1) NS",2,1,0.0,-66.096756,43.600916069,NS
"(2, 2) NS",2,2,0.0,-66.096756,43.600916069,NS
"(2, 3) NS",2,3,1.0,-65.928993,44.0895556,NS
"(3, 1) NS",3,1,0.0,-66.096756,43.600916069,NS
"(3, 2) NS",3,2,0.0,-63.840128,45.5385758,NS
"(3, 3) NS",3,3,0.0,-63.139849,45.3174809,NS
"(4, 1) NS",4,1,0.0,-63.658067,45.6001178,NS
"(4, 2) NS",4,2,0.0,-63.251554,44.7256819,NS
"(4, 3) NS",4,3,1.0,-60.349179,46.2180012,NS
"(1, 1) ON",1,1,0.0,-81.548127,42.1943169,ON
"(1, 2) ON",1,2,1.0,-84.492,46.612000000000016,ON
"(1, 3) ON",1,3,0.0,-79.491358,43.384,ON
"(2, 1) ON",2,1,0.0,-82.14401,42.1943169,ON
"(2, 2) ON",2,2,1.0,-81.636,44.1771975,ON
"(2, 3) ON",2,3,1.0,-81.747883,43.1176554,ON
"(3, 1) ON",3,1,0.0,-81.4107933,43.1176554,ON
"(3, 2) ON",3,2,0.0,-84.52721486,42.0125,ON
"(3, 3) ON",3,3,1.0,-79.951,42.866,ON
"(4, 1) ON",4,1,0.0,-82.265016,43.384,ON
"(4, 2) ON",4,2,1.0,-80.308,44.1516419,ON
"(4, 3) ON",4,3,1.0,-82.3893,42.2478004,ON
"(1, 1) PE",1,1,0.0,-64.015309,46.454167,PE
"(1, 2) PE",1,2,0.0,-64.375897,46.454167,PE
"(1, 3) PE",1,3,0.0,-63.998842,46.4549888,PE
"(2, 1) PE",2,1,0.0,-64.02996,46.4549888,PE
"(2, 2) PE",2,2,0.0,-64.375897,46.7204861,PE
"(2, 3) PE",2,3,0.0,-62.304167,46.4549888,PE
"(3, 1) PE",3,1,0.0,-64.02996,46.7204861,PE
"(3, 2) PE",3,2,0.0,-64.02996,46.4549888,PE
"(3, 3) PE",3,3,1.0,-64.015309,46.6669797,PE
"(4, 1) PE",4,1,0.0,-64.02996,46.7204861,PE
"(4, 2) PE",4,2,0.0,-64.02996,46.6669797,PE
"(4, 3) PE",4,3,0.0,-64.02996,46.4549888,PE
"(1, 1) QC",1,1,1.0,-67.752,48.391,QC
"(1, 2) QC",1,2,0.0,-72.929,45.684,QC
"(1, 3) QC",1,3,0.0,-72.929,45.684,QC
"(2, 1) QC",2,1,0.0,-72.929,45.684,QC
"(2, 2) QC",2,2,0.0,-66.7454881,48.9878475,QC
"(2, 3) QC",2,3,0.0,-72.929,45.684,QC
"(3, 1) QC",3,1,1.0,-65.523297,49.063,QC
"(3, 2) QC",3,2,0.0,-73.695,61.684,QC
"(3, 3) QC",3,3,0.0,-72.929,45.684,QC
"(4, 1) QC",4,1,1.0,-71.062,46.577,QC
"(4, 2) QC",4,2,0.0,-72.929,45.684,QC
"(4, 3) QC",4,3,1.0,-73.695,61.684,QC
"(1, 1) SK",1,1,0.0,-108.41689,50.1596965,SK
"(1, 2) SK",1,2,0.0,-108.62235,50.1596965,SK
"(1, 3) SK",1,3,1.0,-107.46012,50.1596965,SK
"(2, 1) SK",2,1,0.0,-108.41689,50.1596965,SK
"(2, 2) SK",2,2,0.0,-108.62235,50.1590487768684,SK
"(2, 3) SK",2,3,0.0,-106.96631,50.1596965,SK
"(3, 1) SK",3,1,0.0,-108.62235,50.0701427,SK
"(3, 2) SK",3,2,0.0,-108.62235,50.1596965,SK
"(3, 3) SK",3,3,0.0,-104.46429,50.4169767,SK
"(4, 1) SK",4,1,0.0,-108.41689,50.0701427,SK
"(4, 2) SK",4,2,0.0,-108.41689,50.0701427,SK
"(4, 3) SK",4,3,0.0,-103.04009,50.4169767,SK
